permit_demolition,address,description_demolition,issue_date_demolition,year_demolition,permit_new,issue_date_new,year_new,description_new,cost_new,boundaries,names_new,json_agg,community
100550272,2320 N Hamilton Ave,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,09/30/2014,2014,100553635,09/09/2014,2014,ERECT MASONRY 2 D.U. RESIDENCE (3B CONSTRUCTION) WITH ROOF TOP DECK AND DETATCHD MASONRY 2 CAR GARAGE ( 3B CONSTRUCTION) AS PER PLAN.     **Self-Certification Project  -  Conditional Permit: Subject to audit & field inspections**     ***This permit will be voided in 30 days from the issuing date of this permit if Wrecking Permit is not obtained***,672600,"[{""type"":""ward"",""id"":""32"",""name"":""32"",""metadata"":""SCOTT WAGUESPACK""},{""type"":""communityarea"",""id"":""23"",""name"":""LOGAN SQUARE"",""metadata"":""22""},{""type"":""neighborhood"",""id"":""107"",""name"":""Bucktown"",""metadata"":null}]","Hanna John C, Wermar Plumbing Corp, Quick Hvac Service Inc., Quick Hvac Service Inc., Chicago Development Group, Llc, Bm Uk Enterprise, Inc., Bm Uk Enterprise Company, North Electric, Inc.","[{""name"":""Hanna John C"",""type"":""Self Cert Architect"",""address"":"""",""city"":"""",""state"":"""",""slug"":""HANNA_JOHN_C""}, {""name"":""Wermar Plumbing Corp"",""type"":""Contractor-Plumber\/plumbing"",""address"":""1904 E Seneca Ln"",""city"":""Mt Prospect"",""state"":""Il"",""slug"":""WERMAR_PLUMBING_CORP""}, {""name"":""Quick Hvac Service Inc."",""type"":""Contractor-Ventilation"",""address"":""1606 Wooddrive Dr"",""city"":""Round Lake Beach"",""state"":""Il"",""slug"":""QUICK_HVAC_SERVICE_INC.""}, {""name"":""Quick Hvac Service Inc."",""type"":""Contractor-Refrigeration"",""address"":""1606 Wooddrive Dr"",""city"":""Round Lake Beach"",""state"":""Il"",""slug"":""QUICK_HVAC_SERVICE_INC.""}, {""name"":""Chicago Development Group, Llc"",""type"":""Owner"",""address"":""1745 W Julian St"",""city"":""Chicago"",""state"":""Il"",""slug"":""CHICAGO_DEVELOPMENT_GROUP,_LLC""}, {""name"":""Bm Uk Enterprise, Inc."",""type"":""Masonry Contractor"",""address"":""9433 S. Harding Avenue"",""city"":""Evergreen Park"",""state"":""Il"",""slug"":""BM_UK_ENTERPRISE,_INC.""}, {""name"":""Bm Uk Enterprise Company"",""type"":""Contractor-General Contractor"",""address"":""9433 South Harding"",""city"":""Evergreen Park"",""state"":""Il"",""slug"":""BM_UK_ENTERPRISE_COMPANY""}, {""name"":""North Electric, Inc."",""type"":""Contractor-Electrical"",""address"":""7442 Church Hill"",""city"":""Morton Grove"",""state"":""Il"",""slug"":""NORTH_ELECTRIC,_INC.""}]",LOGAN SQUARE
100553936,3803 N Claremont Ave,WRECK AND REMOVE A 2 STORY MASONRY RESIDENCE AND DETACHED FRAME GARAGE,09/23/2014,2014,100553809,08/26/2014,2014,NEW 2 STORY MASONRY BUILDING WITH BASEMENT. NEW 3 CAR MASONRY GARAGE AS PER PLANS **SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,300000,"[{""type"":""ward"",""id"":""47"",""name"":""47"",""metadata"":""AMEYA PAWAR""},{""type"":""communityarea"",""id"":""46"",""name"":""NORTH CENTER"",""metadata"":""5""},{""type"":""neighborhood"",""id"":""196"",""name"":""North Center"",""metadata"":null}]","Shield's Enterprises, Inc., Heaney Group Llc, Msw Electric & Construction, I, Comfortmate Heating & Air, Inc, Comfortmate Heating & Air, Inc, Heaney Group, Llc., Simovic Laszlo, Casey Masonry, Inc., Elboe Enterprises Inc.","[{""name"":""Shield's Enterprises, Inc."",""type"":""Contractor-Plumber\/plumbing"",""address"":""13203 Baltic Circle"",""city"":""Lemont"",""state"":""Il"",""slug"":""SHIELD'S_ENTERPRISES,_INC.""}, {""name"":""Heaney Group Llc"",""type"":""Owner"",""address"":""4328 W Irving Park Rd."",""city"":""Chicago"",""state"":""Il"",""slug"":""HEANEY_GROUP_LLC""}, {""name"":""Msw Electric & Construction, I"",""type"":""Contractor-Electrical"",""address"":""1233 Heather Ln."",""city"":""Glenview"",""state"":""Il"",""slug"":""MSW_ELECTRIC_&_CONSTRUCTION,_I""}, {""name"":""Comfortmate Heating & Air, Inc"",""type"":""Contractor-Refrigeration"",""address"":""19137 S. Blackhawk Pkwy"",""city"":""Mokena"",""state"":""Il"",""slug"":""COMFORTMATE_HEATING_&_AIR,_INC""}, {""name"":""Comfortmate Heating & Air, Inc"",""type"":""Contractor-Ventilation"",""address"":""19137 S. Blackhawk Pkwy"",""city"":""Mokena"",""state"":""Il"",""slug"":""COMFORTMATE_HEATING_&_AIR,_INC""}, {""name"":""Heaney Group, Llc."",""type"":""Contractor-General Contractor"",""address"":""4328 W. Irving Park"",""city"":""Chicago"",""state"":""Il"",""slug"":""HEANEY_GROUP,_LLC.""}, {""name"":""Simovic Laszlo"",""type"":""Self Cert Architect"",""address"":"""",""city"":"""",""state"":"""",""slug"":""SIMOVIC_LASZLO""}, {""name"":""Casey Masonry, Inc."",""type"":""Masonry Contractor"",""address"":""9111 Parkside Street"",""city"":""Morton Grove"",""state"":""Il"",""slug"":""CASEY_MASONRY,_INC.""}, {""name"":""Elboe Enterprises Inc."",""type"":""Masonry Contractor"",""address"":""Elboe Enterprises Inc. 505 Tamarack Dr."",""city"":""Wauconda"",""state"":""Il"",""slug"":""ELBOE_ENTERPRISES_INC.""}]",NORTH CENTER
100552783,4120 N Leavitt St,WRECK AND REMOVE A 1 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,09/22/2014,2014,100555895,09/03/2014,2014,ERECT A 2 STORY   IVA FRAME SINGLE FAMILY RESIDENT WITH BASEMENT AND 2 CAR DETACHED GARAGE PER PLANS,250000,"[{""type"":""ward"",""id"":""47"",""name"":""47"",""metadata"":""AMEYA PAWAR""},{""type"":""communityarea"",""id"":""46"",""name"":""NORTH CENTER"",""metadata"":""5""},{""type"":""neighborhood"",""id"":""196"",""name"":""North Center"",""metadata"":null}]","Gg Heating & Cooling, Boehm Christopher G, Gg Heating & Cooling, Jerry's Plumbing, Inc., Krzysztof Boron, Gc Consulting Llc, V & M Development, Inc., Derrig Concrete Inc., North Leavitt Partners Llc","[{""name"":""Gg Heating & Cooling"",""type"":""Contractor-Ventilation"",""address"":""192 College Dr"",""city"":""Bloomingdale"",""state"":""Il"",""slug"":""GG_HEATING_&_COOLING""}, {""name"":""Boehm Christopher G"",""type"":""Self Cert Architect"",""address"":"""",""city"":"""",""state"":"""",""slug"":""BOEHM_CHRISTOPHER_G""}, {""name"":""Gg Heating & Cooling"",""type"":""Contractor-Refrigeration"",""address"":""192 College Dr"",""city"":""Bloomingdale"",""state"":""Il"",""slug"":""GG_HEATING_&_COOLING""}, {""name"":""Jerry's Plumbing, Inc."",""type"":""Contractor-Plumber\/plumbing"",""address"":""605 N. Prospect Manor"",""city"":""Mount Prospect"",""state"":""Il"",""slug"":""JERRY'S_PLUMBING,_INC.""}, {""name"":""Krzysztof Boron"",""type"":""Contractor-Electrical"",""address"":""1811 East Park Place"",""city"":""Arlington Heights"",""state"":""Il"",""slug"":""KRZYSZTOF_BORON""}, {""name"":""Gc Consulting Llc"",""type"":""Expeditor"",""address"":""120 W. Madison St. Floor 3, Apt.\/suite 310"",""city"":""Chicago"",""state"":""Il"",""slug"":""GC_CONSULTING_LLC""}, {""name"":""V & M Development, Inc."",""type"":""Contractor-General Contractor"",""address"":""1926 W. Melrose Street"",""city"":""Chicago"",""state"":""Il"",""slug"":""V_&_M_DEVELOPMENT,_INC.""}, {""name"":""Derrig Concrete Inc."",""type"":""Masonry Contractor"",""address"":""1125 S. Vine Ave."",""city"":""Park Ridge"",""state"":""Il"",""slug"":""DERRIG_CONCRETE_INC.""}, {""name"":""North Leavitt Partners Llc"",""type"":""Owner"",""address"":""1926 W Melrose"",""city"":""Chicago"",""state"":""Il"",""slug"":""NORTH_LEAVITT_PARTNERS_LLC""}]",NORTH CENTER
100556993,4141 N Whipple St,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND DETACHED FRAME GARAGE,09/22/2014,2014,100550409,09/29/2014,2014,"NEW 2-STORY SINGLE FAMILY RESIDENCE WITH BASEMENT AND DETACHED 3-CAR PRIVATE GARAGE. INCLUDES ELECTRICAL, VENTILATION, REFRIGERATION, AND PLUMBING SYSTEMS.",250000,"[{""type"":""ward"",""id"":""33"",""name"":""33"",""metadata"":""DEB MELL""},{""type"":""communityarea"",""id"":""16"",""name"":""IRVING PARK"",""metadata"":""16""},{""type"":""neighborhood"",""id"":""40"",""name"":""Albany Park"",""metadata"":null}]","Hodgson Daniel Lee, Ds Construction, Inc., G.a. Heating & Cooling, Jim Mellos, G.a. Heating & Cooling, Watermax Plumbing, Inc, Mk Construction & Builders, In, Affordable Construction & Elec","[{""name"":""Hodgson Daniel Lee"",""type"":""Architect"",""address"":"""",""city"":"""",""state"":"""",""slug"":""HODGSON_DANIEL_LEE""}, {""name"":""Ds Construction, Inc."",""type"":""Masonry Contractor"",""address"":""5923 S. Merrimac"",""city"":""Chicago"",""state"":""Il"",""slug"":""DS_CONSTRUCTION,_INC.""}, {""name"":""G.a. Heating & Cooling"",""type"":""Contractor-Ventilation"",""address"":""8447 S Newcastle"",""city"":""Burbank"",""state"":""Il"",""slug"":""G.A._HEATING_&_COOLING""}, {""name"":""Jim Mellos"",""type"":""Owner"",""address"":""626 W. Randolph"",""city"":""Chicago"",""state"":""Il"",""slug"":""JIM_MELLOS""}, {""name"":""G.a. Heating & Cooling"",""type"":""Contractor-Refrigeration"",""address"":""8447 S Newcastle"",""city"":""Burbank"",""state"":""Il"",""slug"":""G.A._HEATING_&_COOLING""}, {""name"":""Watermax Plumbing, Inc"",""type"":""Contractor-Plumber\/plumbing"",""address"":""3644 Hawthorne"",""city"":""Franklin Park"",""state"":""Il"",""slug"":""WATERMAX_PLUMBING,_INC""}, {""name"":""Mk Construction & Builders, In"",""type"":""Contractor-General Contractor"",""address"":""2000 N. Milwaukee Ave"",""city"":""Chicago"",""state"":""Il"",""slug"":""MK_CONSTRUCTION_&_BUILDERS,_IN""}, {""name"":""Affordable Construction & Elec"",""type"":""Contractor-Electrical"",""address"":""P.o. Box 1112"",""city"":""Bridgeview"",""state"":""Il"",""slug"":""AFFORDABLE_CONSTRUCTION_&_ELEC""}]",IRVING PARK
100551130,2337 W Barry Ave,WRECK AND REMOVE 1 STORY FRAME RESIDENCE.,09/19/2014,2014,100536845,08/14/2014,2014,ERECT A NEW 2 STORY FRAME SINGLE FAMILY WITH BASEMENT AND DETCHED FRAME 2 CAR GARAGE AS PER PLANS.,250000,"[{""type"":""ward"",""id"":""32"",""name"":""32"",""metadata"":""SCOTT WAGUESPACK""},{""type"":""communityarea"",""id"":""46"",""name"":""NORTH CENTER"",""metadata"":""5""},{""type"":""neighborhood"",""id"":""131"",""name"":""Lake View"",""metadata"":null},{""type"":""tif"",""id"":""61"",""name"":""Addison South"",""metadata"":""Mixed-use:  Ind\/Comm\/Resid\/Conservation""}]","All Pro Mechanical Services, Inspired Technology Concepts, Wozny Zenon, West Coast Concrete, Inc., Gentoo Inc C/o Julie Brandt, Rco Enterprises, Inc., All Pro Mechanical Services, Shield's Enterprises, Inc., Stern Group Corporation","[{""name"":""All Pro Mechanical Services"",""type"":""Contractor-Ventilation"",""address"":""6115 Knollwood Rd."",""city"":""Willowbrook"",""state"":""Il"",""slug"":""ALL_PRO_MECHANICAL_SERVICES""}, {""name"":""Inspired Technology Concepts"",""type"":""Contractor-Electrical"",""address"":""448 Edward Court"",""city"":""Des Plaines"",""state"":""Il"",""slug"":""INSPIRED_TECHNOLOGY_CONCEPTS""}, {""name"":""Wozny Zenon"",""type"":""Architect"",""address"":"""",""city"":"""",""state"":"""",""slug"":""WOZNY_ZENON""}, {""name"":""West Coast Concrete, Inc."",""type"":""Masonry Contractor"",""address"":""14129 S.88Th Ave."",""city"":""Orland Park"",""state"":""Il"",""slug"":""WEST_COAST_CONCRETE,_INC.""}, {""name"":""Gentoo Inc C\/o Julie Brandt"",""type"":""Owner"",""address"":""11524 W 183Rd St Suite 101"",""city"":""Orland Park"",""state"":""Il"",""slug"":""GENTOO_INC_C\/O_JULIE_BRANDT""}, {""name"":""Rco Enterprises, Inc."",""type"":""Contractor-General Contractor"",""address"":""9042 Big Sable  Pt."",""city"":""Frankfort"",""state"":""Il"",""slug"":""RCO_ENTERPRISES,_INC.""}, {""name"":""All Pro Mechanical Services"",""type"":""Contractor-Refrigeration"",""address"":""6115 Knollwood Rd."",""city"":""Willowbrook"",""state"":""Il"",""slug"":""ALL_PRO_MECHANICAL_SERVICES""}, {""name"":""Shield's Enterprises, Inc."",""type"":""Contractor-Plumber\/plumbing"",""address"":""13203 Baltic Circle"",""city"":""Lemont"",""state"":""Il"",""slug"":""SHIELD'S_ENTERPRISES,_INC.""}, {""name"":""Stern Group Corporation"",""type"":""Expeditor"",""address"":""6041 N. Navarre Ave. Floor 3"",""city"":""Chicago"",""state"":""Il"",""slug"":""STERN_GROUP_CORPORATION""}]",NORTH CENTER
100543235,1734 N Mohawk St,WRECK AND REMOVE EXISTING FRAME 2 FLAT RESIDENCE,09/18/2014,2014,100543061,09/19/2014,2014,"ERECT 3-STORY TYPE 3B SFR W/BASEMENT, ELEVATOR, PENTHOUSE, AND A DETACHED 2-CAR GARAGE WITH ROOFTOP DECK AND FIREPLACE AS PER PLANS.   **Certified Plan Corrections Project - Conditional Permit: Subject to field inspections **     ***This permit will be voided in 30 days from the issuing date of this permit if Wrecking Permit is not obtained***",300000,"[{""type"":""ward"",""id"":""43"",""name"":""43"",""metadata"":""MICHELE SMITH""},{""type"":""communityarea"",""id"":""68"",""name"":""LINCOLN PARK"",""metadata"":""7""},{""type"":""neighborhood"",""id"":""4"",""name"":""Lincoln Park"",""metadata"":null}]","Artis Electric Incorporated, Elboe Enterprises Inc., Tdk Air Specialist Inc, Tdk Air Specialist Inc, Lp Plumbing, Inc, Beyerl Gary E, Link Masonry Inc, Mc Construction Group, Llc., Andrew Bowyer","[{""name"":""Artis Electric Incorporated"",""type"":""Contractor-Electrical"",""address"":""4340 W. 152Nd St."",""city"":""Midlothian"",""state"":""Il"",""slug"":""ARTIS_ELECTRIC_INCORPORATED""}, {""name"":""Elboe Enterprises Inc."",""type"":""Masonry Contractor"",""address"":""Elboe Enterprises Inc. 505 Tamarack Dr."",""city"":""Wauconda"",""state"":""Il"",""slug"":""ELBOE_ENTERPRISES_INC.""}, {""name"":""Tdk Air Specialist Inc"",""type"":""Contractor-Refrigeration"",""address"":""5400 Astot Lane #304"",""city"":""Rolloing Meadows"",""state"":""Il"",""slug"":""TDK_AIR_SPECIALIST_INC""}, {""name"":""Tdk Air Specialist Inc"",""type"":""Contractor-Ventilation"",""address"":""5400 Astot Lane #304"",""city"":""Rolloing Meadows"",""state"":""Il"",""slug"":""TDK_AIR_SPECIALIST_INC""}, {""name"":""Lp Plumbing, Inc"",""type"":""Contractor-Plumber\/plumbing"",""address"":""7853 W Sunset Dr"",""city"":""Elmwood Park"",""state"":""Il"",""slug"":""LP_PLUMBING,_INC""}, {""name"":""Beyerl Gary E"",""type"":""Architect"",""address"":"""",""city"":"""",""state"":"""",""slug"":""BEYERL_GARY_E""}, {""name"":""Link Masonry Inc"",""type"":""Masonry Contractor"",""address"":""4630 N Wesley Terrace"",""city"":""Schiller Park"",""state"":""Il"",""slug"":""LINK_MASONRY_INC""}, {""name"":""Mc Construction Group, Llc."",""type"":""Contractor-General Contractor"",""address"":""2436 N. Western Avenue"",""city"":""Chicago"",""state"":""Il"",""slug"":""MC_CONSTRUCTION_GROUP,_LLC.""}, {""name"":""Andrew Bowyer"",""type"":""Owner"",""address"":""One North Wacker Dr. Suite 4125"",""city"":""Chicago"",""state"":""Il"",""slug"":""ANDREW_BOWYER""}]",LINCOLN PARK
100547913,2141 W Rice St,WRECK AND REMOVE A 1 STORY BRICK BUILDING & 1 STORY FRAME GARAGE.,09/18/2014,2014,100547371,08/27/2014,2014,"NEW MASONRY 3 STORY 2 DWELLING UNITS BUILDING WITH BASEMENT, ROOF DECK, REAR STEEL PORCH AND NEW MASONRY GARAGE- SELF CERTIFICATION PROGRAM.  **Self-Certification Project  -  Conditional Permit: Subject to audit & field inspections**   ***This permit will be voided in 30 days from the issuing date of this permit if Wrecking Permit is not obtained***",450000,"[{""type"":""ward"",""id"":""2"",""name"":""2"",""metadata"":""ROBERT FIORETTI""},{""type"":""communityarea"",""id"":""25"",""name"":""WEST TOWN"",""metadata"":""24""},{""type"":""neighborhood"",""id"":""164"",""name"":""Ukrainian Village"",""metadata"":null}]","The Phoenix Plumbing Company, Tir Conaill Concrete, Inc., Jester Properties, Optimal One Corporation, Optimal One Corporation, Koziol Frederick E, Kablar Electric, Edn Construction, Inc., Brennan Masonry Company","[{""name"":""The Phoenix Plumbing Company"",""type"":""Contractor-Plumber\/plumbing"",""address"":""3140 N. Major Ave."",""city"":""Chicago"",""state"":""Il"",""slug"":""THE_PHOENIX_PLUMBING_COMPANY""}, {""name"":""Tir Conaill Concrete, Inc."",""type"":""Masonry Contractor"",""address"":""6253 W Lawrence Ave"",""city"":""Chicago"",""state"":""Il"",""slug"":""TIR_CONAILL_CONCRETE,_INC.""}, {""name"":""Jester Properties"",""type"":""Owner"",""address"":""1538 Southgate Rd"",""city"":""Bartlett"",""state"":""Il"",""slug"":""JESTER_PROPERTIES""}, {""name"":""Optimal One Corporation"",""type"":""Contractor-Ventilation"",""address"":""22348 W. Broker Rd."",""city"":""Medinah"",""state"":""Il"",""slug"":""OPTIMAL_ONE_CORPORATION""}, {""name"":""Optimal One Corporation"",""type"":""Contractor-Refrigeration"",""address"":""22348 W. Broker Rd."",""city"":""Medinah"",""state"":""Il"",""slug"":""OPTIMAL_ONE_CORPORATION""}, {""name"":""Koziol Frederick E"",""type"":""Self Cert Architect"",""address"":"""",""city"":"""",""state"":"""",""slug"":""KOZIOL_FREDERICK_E""}, {""name"":""Kablar Electric"",""type"":""Contractor-Electrical"",""address"":""7227 W Crain"",""city"":""Niles"",""state"":""Il"",""slug"":""KABLAR_ELECTRIC""}, {""name"":""Edn Construction, Inc."",""type"":""Contractor-General Contractor"",""address"":""1418 West Grand Avenue"",""city"":""Chicago"",""state"":""Il"",""slug"":""EDN_CONSTRUCTION,_INC.""}, {""name"":""Brennan Masonry Company"",""type"":""Masonry Contractor"",""address"":""P.o. Box 675"",""city"":""Elmhurst"",""state"":""Il"",""slug"":""BRENNAN_MASONRY_COMPANY""}]",WEST TOWN
100554612,1933 W Waveland Ave,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE AND 1 STORY DETACHED FRAME GARAGE,09/18/2014,2014,100551044,09/09/2014,2014,"ERECT A NEW TWO STORY , IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 DETACHED GARAGE  PER PLANS",250000,"[{""type"":""ward"",""id"":""47"",""name"":""47"",""metadata"":""AMEYA PAWAR""},{""type"":""communityarea"",""id"":""46"",""name"":""NORTH CENTER"",""metadata"":""5""},{""type"":""neighborhood"",""id"":""196"",""name"":""North Center"",""metadata"":null}]","Miron Heating & Cooling, Miron Heating & Cooling, 1933 W Waveland Llc, Lp Plumbing, Inc, Cox Michael S, Tir Conaill Concrete, Inc., T & M Electric, Kadra Masonry Corp., Healy Construction Services, I, Gc Consulting Llc","[{""name"":""Miron Heating & Cooling"",""type"":""Contractor-Ventilation"",""address"":""1716 W. Robbie Ln."",""city"":""Mount Prospect"",""state"":""Il"",""slug"":""MIRON_HEATING_&_COOLING""}, {""name"":""Miron Heating & Cooling"",""type"":""Contractor-Refrigeration"",""address"":""1716 W. Robbie Ln."",""city"":""Mount Prospect"",""state"":""Il"",""slug"":""MIRON_HEATING_&_COOLING""}, {""name"":""1933 W Waveland Llc"",""type"":""Owner"",""address"":""6221 N Canfield"",""city"":""Chicago"",""state"":""Il"",""slug"":""1933_W_WAVELAND_LLC""}, {""name"":""Lp Plumbing, Inc"",""type"":""Contractor-Plumber\/plumbing"",""address"":""7853 W Sunset Dr"",""city"":""Elmwood Park"",""state"":""Il"",""slug"":""LP_PLUMBING,_INC""}, {""name"":""Cox Michael S"",""type"":""Structural Engineer"",""address"":"""",""city"":"""",""state"":"""",""slug"":""COX_MICHAEL_S""}, {""name"":""Tir Conaill Concrete, Inc."",""type"":""Masonry Contractor"",""address"":""6253 W Lawrence Ave"",""city"":""Chicago"",""state"":""Il"",""slug"":""TIR_CONAILL_CONCRETE,_INC.""}, {""name"":""T & M Electric"",""type"":""Contractor-Electrical"",""address"":""4308 N. Overhill"",""city"":""Norridge"",""state"":""Il"",""slug"":""T_&_M_ELECTRIC""}, {""name"":""Kadra Masonry Corp."",""type"":""Masonry Contractor"",""address"":""2918 N. Lotus Ave"",""city"":""Chicago"",""state"":""Il"",""slug"":""KADRA_MASONRY_CORP.""}, {""name"":""Healy Construction Services, I"",""type"":""Contractor-General Contractor"",""address"":""14000 S Keeler Avenue"",""city"":""Crestwood"",""state"":""Il"",""slug"":""HEALY_CONSTRUCTION_SERVICES,_I""}, {""name"":""Gc Consulting Llc"",""type"":""Expeditor"",""address"":""120 W. Madison St. Floor 3, Apt.\/suite 310"",""city"":""Chicago"",""state"":""Il"",""slug"":""GC_CONSULTING_LLC""}]",NORTH CENTER
100547822,2431 N Janssen Ave,WRECK AND REMOVE AN EXISTING 2 STORY MULTI USE FAMILY FRAMED AND GARAGE.,09/17/2014,2014,100555378,09/18/2014,2014,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE PER PLANS",250000,"[{""type"":""ward"",""id"":""2"",""name"":""2"",""metadata"":""ROBERT FIORETTI""},{""type"":""communityarea"",""id"":""68"",""name"":""LINCOLN PARK"",""metadata"":""7""},{""type"":""neighborhood"",""id"":""15"",""name"":""West De Paul"",""metadata"":null}]","Thady Construction Llc, Cox Michael S, Derreen Concrete, Inc., Thady Construction Llc, Rmb Heating & Cooling, Gc Consulting Llc, Mobile Plumbing, Inc., Curragh Electric Co., Rmb Heating & Cooling","[{""name"":""Thady Construction Llc"",""type"":""Contractor-General Contractor"",""address"":""21 N. Hamlin"",""city"":""Park Ridge"",""state"":""Il"",""slug"":""THADY_CONSTRUCTION_LLC""}, {""name"":""Cox Michael S"",""type"":""Structural Engineer"",""address"":"""",""city"":"""",""state"":"""",""slug"":""COX_MICHAEL_S""}, {""name"":""Derreen Concrete, Inc."",""type"":""Masonry Contractor"",""address"":""4935 N. Merrimac Ave"",""city"":""Chicago"",""state"":""Il"",""slug"":""DERREEN_CONCRETE,_INC.""}, {""name"":""Thady Construction Llc"",""type"":""Owner"",""address"":""21 N  Hamlin"",""city"":""Park Ridge"",""state"":""Il"",""slug"":""THADY_CONSTRUCTION_LLC""}, {""name"":""Rmb Heating & Cooling"",""type"":""Contractor-Refrigeration"",""address"":""508 N Racine"",""city"":""Chicago"",""state"":""Il"",""slug"":""RMB_HEATING_&_COOLING""}, {""name"":""Gc Consulting Llc"",""type"":""Expeditor"",""address"":""120 W. Madison St. Floor 3, Apt.\/suite 310"",""city"":""Chicago"",""state"":""Il"",""slug"":""GC_CONSULTING_LLC""}, {""name"":""Mobile Plumbing, Inc."",""type"":""Contractor-Plumber\/plumbing"",""address"":""4919 N. Mobile Ave"",""city"":""Chicago"",""state"":""Il"",""slug"":""MOBILE_PLUMBING,_INC.""}, {""name"":""Curragh Electric Co."",""type"":""Contractor-Electrical"",""address"":""1514 Fifth Ave."",""city"":""Des Plaines"",""state"":""Il"",""slug"":""CURRAGH_ELECTRIC_CO.""}, {""name"":""Rmb Heating & Cooling"",""type"":""Contractor-Ventilation"",""address"":""508 N Racine"",""city"":""Chicago"",""state"":""Il"",""slug"":""RMB_HEATING_&_COOLING""}]",LINCOLN PARK
100534662,1415 N Artesian Ave,WRECK AND REMOVE A 1 STORY BRICK BUIDLING.,09/15/2014,2014,100539610,08/26/2014,2014,"NEW 3 STORY 3 UNIT BRICK BUILDING WITH ROOF TOP DECK AND NEW REAR OPEN WOOD PORCH WORK TO INCLUDE PLUMBING, ELECTRICAL AND HVAC PER ARCHITECTURAL PLANS",350000,"[{""type"":""ward"",""id"":""1"",""name"":""1"",""metadata"":""PROCO JOE MORENO""},{""type"":""communityarea"",""id"":""25"",""name"":""WEST TOWN"",""metadata"":""24""},{""type"":""neighborhood"",""id"":""183"",""name"":""Humboldt Park"",""metadata"":null}]","Demox, Inc., New Age Development, Incorpora, How Much And When Expediting, Star Tuckpointing, Inc., Cody Michael D, Aquarius Services, Inc.,, Deco Hvac, Jim Athans","[{""name"":""Demox, Inc."",""type"":""Masonry Contractor"",""address"":""1N650 Burr Oak Rd"",""city"":""Northwoods"",""state"":""Il"",""slug"":""DEMOX,_INC.""}, {""name"":""New Age Development, Incorpora"",""type"":""Contractor-General Contractor"",""address"":""506 Cordial Drive"",""city"":""Des Palines"",""state"":""Il"",""slug"":""NEW_AGE_DEVELOPMENT,_INCORPORA""}, {""name"":""How Much And When Expediting"",""type"":""Expeditor"",""address"":""522  Princeton Dr."",""city"":""Bolingbrook"",""state"":""Il"",""slug"":""HOW_MUCH_AND_WHEN_EXPEDITING""}, {""name"":""Star Tuckpointing, Inc."",""type"":""Masonry Contractor"",""address"":""5816 W Irving Park Road"",""city"":""Chicago"",""state"":""Il"",""slug"":""STAR_TUCKPOINTING,_INC.""}, {""name"":""Cody Michael D"",""type"":""Self Cert Architect"",""address"":"""",""city"":"""",""state"":"""",""slug"":""CODY_MICHAEL_D""}, {""name"":""Aquarius Services, Inc.,"",""type"":""Contractor-Plumber\/plumbing"",""address"":""406 W. Marion St."",""city"":""Prospect Heights"",""state"":""Il"",""slug"":""AQUARIUS_SERVICES,_INC.,""}, {""name"":""Deco Hvac"",""type"":""Contractor-Ventilation"",""address"":""1075 Grissom Trail"",""city"":""Elk Grove Village"",""state"":""Il"",""slug"":""DECO_HVAC""}, {""name"":""Jim Athans"",""type"":""Owner"",""address"":""626 W. Randolph"",""city"":""Chicago"",""state"":""Il"",""slug"":""JIM_ATHANS""}]",WEST TOWN
