_permit_type,work_description,address,permit_,_permit_type(2),work_description(2),address(2),permit_(2),b_ward
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK BUILDING,1012 N Honore St,100536299,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT MASONRY 3 D.U. BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 3 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION) AS PER PLAN.",1012 N Honore St,100539388,2
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK RESIDENCE AND DETACHED FRAME GARAGE,1013 N Honore St,100513018,PERMIT - NEW CONSTRUCTION,SELF CERTIFIED - ERECT A NEW 3 STORY MASONRY MULTI UNIT BUILDING WITH BASEMENT AND NEW REAR OPEN METAL 2 STORY PORCH AND NEW NORTH ELEVATION METAL 3 STORY STAIR SYSTEM AND  NEW MASONRY GARAGE WITH ROOF DECK. ALL WORK DONE AS PER ARCHITECTURAL PLANS.,1013 N Honore St,100511053,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 1/2 STORY FRAME RESIDENCE & 1 STORY FRAME GARAGE,1020 W Oakdale Ave,100521054,PERMIT - NEW CONSTRUCTION,3 STORY SINGLE FAMILY RESIDENCE WITH BASEMENT AND  DETACHED 2 CAR GARAGE WITH ROOF DECK PER PLANS,1020 W Oakdale Ave,100531430,44
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 2 STORY FRAME FRONT BUILDING,1024 W Wolfram St,100506932,PERMIT - NEW CONSTRUCTION,ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE WITH ROOF TOP DECK (4A CONSTRUCTION) AS PER PLAN.**SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,1024 W Wolfram St,100507025,44
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY FRAME COACH HOUSE,1024 W Wolfram St,100506935,PERMIT - NEW CONSTRUCTION,ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE WITH ROOF TOP DECK (4A CONSTRUCTION) AS PER PLAN.**SELF-CERTIFICATION - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT**,1024 W Wolfram St,100507025,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME,1033 W Newport Ave,100523819,PERMIT - NEW CONSTRUCTION,"ERECT A 3 STORY ,IIIB  MASONRY 3 UNIT APARMENT BUILDING WITH 3 CAR GARAGE PER PLAN",1033 W Newport Ave,100519398,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY BRICK\FRAME BUILDING.,1036 N Hermitage Ave,100470393,PERMIT - NEW CONSTRUCTION,"SELF CERTIFICATION REVIEW: ERECT 3 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 3 CAR MASONRY GARAGE (3B CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.",1036 N Hermitage Ave,100471343,1
PERMIT - WRECKING/DEMOLITION,WRECK & REMOVE 1 STORY BRICK COMMERCIAL BUILDING,1041 W Madison St,100476020,PERMIT - NEW CONSTRUCTION,"NEW 4 STORY MASONRY BUILDING  3 UNIT APARMENT ,AND RETAIL SPACE",1041 W Madison St,100475991,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME RESIDENCE,1041 W Wellington Ave,100491200,PERMIT - NEW CONSTRUCTION,"ERECT A NEW 2 STORY SFR FRAME AND BRICK VENEER BUILDING WITH BASEMENT AND A NEW 1 STORY 4 CAR DETACHED MASONRY GARAGE 37'-6"" X 20' WITH ROOF DECK AS PER PLANS.",1041 W Wellington Ave,100492304,44
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE AN EXISTING FRAME 3 UNIT BUILDING WIHT GARAGE.,1044 W Altgeld St,100541807,PERMIT - NEW CONSTRUCTION,ERECT 3 STORY MASONRY  8 DWELLING UNIT WITH BASEMENT FRONT BALCONIES AND ROOF DECK  AND DETACHED 8 CAR  GARAGE  WITH ROOF DECK.,1044 W Altgeld St,100541310,43
