_permit_type,work_description,address,permit_,issue_date,_permit_type(2),work_description(2),address(2),permit_(2),issue_date(2),b_ward,b_communityarea
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK COMMERCIAL BUILDING,5106 N Lincoln Ave,100070253,01/10/2006,PERMIT - NEW CONSTRUCTION,"ERECT 4 STORY MASONRY BUILDING W/ 6 D.U. AND 2 COMMERCIAL SPACES PER PLANS. (PROTOTYPE: 5055-57 CLARK ST.)                                                                                                                        -CONDITIONAL PERMIT, SUBJECT TO FIELD VERIFICATION.",5106 N Lincoln Ave,100080486,01/18/2006,40,6
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 1\2 STORY FRAME SINGLE FAMILY RESIDENCE & GARAGE,1728 W Summerdale Ave,100079678,01/10/2006,PERMIT - NEW CONSTRUCTION,"ERECT NEW 2-STORY SINGLE FAMILY FRAME RESIDENCE WITH FULL BASEMENT AND REAR PARKING AREA, NO GARAGE.  CONDITIONAL PERMIT, PENDING WRECKING PERMIT BEING ISSUED WITHIN 30 DAYS OF THIS PERMIT ISSUANCE AND SUBJECT TO FIELD INSPECITON.",1728 W Summerdale Ave,100081054,01/05/2006,40,76
PERMIT - WRECKING/DEMOLITION,WRECK/REMOVE EXISTING 2 STORY BRICK BUILDING.,4208 N Hermitage Ave,100063357,01/12/2006,PERMIT - NEW CONSTRUCTION,ERECT NEW SFR 2 STORY FRAME AS PER PLANS,4208 N Hermitage Ave,100092412,01/31/2006,47,57
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDENCE,2421 N Rockwell St,100079817,01/13/2006,PERMIT - NEW CONSTRUCTION,2 STORY SINGLE RESIDENCE FAMILY FRAME CONSTRUCTION WITH DETACHED GARAGE,2421 N Rockwell St,100076611,02/23/2006,32,23
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDENCE AND GARAGE.,1541 N Artesian Ave,100057103,01/17/2006,PERMIT - NEW CONSTRUCTION,"Erect a three story masonry building, three dwelling units as per plans.",1541 N Artesian Ave,100076879,01/19/2006,1,25
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE & GARAGE,1832 W Wellington Ave,100087563,01/17/2006,PERMIT - NEW CONSTRUCTION,Construct new single family home fram with brick veneer.,1832 W Wellington Ave,100077061,01/25/2006,32,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 2 STORY FRAME,2014 W Addison St,100083333,01/19/2006,PERMIT - NEW CONSTRUCTION,"Erect a 3 story, 2 unit, 3B masonry, apartment building with basement and detached frame 2 car garage.  CONDITIONAL PERMIT CONTINGENT UPON PROCUREMENT OF WRECKING PERMIT WITHIN 30 DAYS OF INTAKE DATE (12/22/05) & SUBJECT TO FIELD INSPECTION.",2014 W Addison St,100083769,01/11/2006,47,46
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A FRAME SINGLE FAMILY RESIDECE AND GARAGE,1814 W Farragut Ave,100079497,01/20/2006,PERMIT - NEW CONSTRUCTION,"Erect a two story, 4A frame, single family residence with basemnet and detached frame garage with roof deck.  CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.WRECKING PERMIT MUST BE OBTAINED BEFORE CONSTRUCTION BEGINS.",1814 W Farragut Ave,100083548,01/11/2006,40,6
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A 1 STORY BRICK COMMERCIAL BUILDING.,5300 N Damen Ave,100069504,01/20/2006,PERMIT - NEW CONSTRUCTION,Erect new 4 story 10 dwelling unit and 2 first floor commercial unit masonry building with first floor garage and rear parking area.,5300 N Damen Ave,100071478,01/25/2006,40,6
PERMIT - WRECKING/DEMOLITION,WRECK AND REMOVE A SINGLE FAMILY RESIDENCE WITH A GARAGE.,4925 N Oakley Ave,100078136,01/20/2006,PERMIT - NEW CONSTRUCTION,Amend site location for proposed single family residence with previous permit #100079146. Relocate building & open porch in front yard as per approved zoning ONLY. CONDITIONAL PERMIT PENDING FIELD VERIFICATION.,4925 N Oakley Ave,100093664,02/08/2006,40,6
